Points in r1,Points in r2,Points in r3,Points in r4,Points in r5,Points in r6,Points in r7,Distance from closest point,Population ,Average Age,Average Household Income ,Activity
0,0,0,0,0,1,10,8.684121,32393,30,142538.14,0
0,0,0,0,0,1,7,8.6406018,16871,35,144796,0
0,0,0,1,1,2,6,2.6172505,8779,39,102729.61,0
7,10,27,62,87,136,223,0.029,34221,28,182927.31,1
0,0,0,0,0,0,2,13.2094663,5023,39,111509.65,0
0,0,0,0,0,1,5,8.7,27338,37,136748,0
0,0,0,1,2,2,9,4.201477,18295,36,108496.35,0
0,0,0,0,0,1,5,9.1,15069,44,100927.19,0
0,0,0,0,1,1,4,6.720863,16871,35,144796,0
0,0,0,1,1,3,5,4.1880783,8924,42,125739.63,0
0,0,0,0,0,1,4,7.8746428,11251,41,106476,0
1,1,1,1,1,1,3,0.2828427,11251,41,106476,0
0,0,0,1,1,1,13,4.8052055,16734,38,150821.66,0
0,0,0,2,2,2,3,2.1690203,17870,41,143598.91,0
6,7,9,47,77,157,245,0.032,18614,30,169443.96,1
0,0,0,0,0,1,10,7.1693793,16871,35,144796,0
0,0,1,1,1,1,4,1.5524175,9450,38,96353.24,0
0,1,2,11,75,112,238,0.6528001,11344,32,162709.06,1
0,0,0,0,0,3,6,7.2006944,8779,39,102729.61,0
0,0,0,0,1,1,5,6.1983869,35035,40,108496.35,0
0,0,1,1,1,1,13,1.2206556,16734,38,150821.66,0
0,0,0,1,1,1,13,3.7013511,12360,42,95556,0
9,9,26,73,105,148,236,0.0178045,34221,28,182927.31,1
0,0,0,1,1,2,15,3.4278836,12210,31,131646.75,0
0,0,1,1,1,2,8,1.3341664,11345,31,130480.48,0
5,7,15,32,45,126,224,0.0064031,34221,28,182927.31,1
0,0,0,1,1,2,2,3.1622777,16871,35,144796,0
0,0,0,1,6,8,62,4.4992125,34221,28,182927.31,1
0,0,0,0,1,2,5,5.7225631,7394,38,87500,0
0,0,0,0,0,2,4,8.4045761,7769,42,106839.01,0
0,0,0,1,1,2,15,3.3600595,11345,31,130480.48,0
0,0,0,0,0,1,3,9.9411776,35035,40,108496.35,0
0,0,0,0,1,1,1,5.7489129,7492,41,87300,0
6,7,11,15,25,60,160,0.0680294,6232,39,128184,1
0,0,0,0,3,4,15,5.5918939,9809,40,146348,0
0,0,0,0,0,2,8,9.1591484,16734,38,150821.66,0
0,0,0,0,1,2,4,5.7070132,16871,35,144796,0
0,0,0,0,0,0,11,10.7935166,13117,41,90426.02,0
0,0,0,1,1,1,6,4.9621768,8924,42,125739.63,1
0,0,0,1,1,1,2,3.2984845,6513,35,102979.26,0
0,0,0,0,1,3,15,6.9007246,17516,34,126162.82,0
0,0,0,0,1,1,7,5.0191786,12346,41,117432,1
8,10,24,62,91,136,223,0.0242074,34221,28,182927.31,1
0,2,2,2,4,24,97,0.8491137,6232,39,128184,1
0,0,0,3,3,3,10,2.6803181,16734,38,150821.66,0
17,18,22,42,57,94,231,0.0306757,36981,31,164856,1
15,16,23,59,74,129,215,0.0440454,34221,28,182927.31,1
0,0,1,2,2,3,6,1.1401754,12360,42,95556,0
0,0,0,1,1,2,9,3.0364453,9546,34,147858.21,0
0,0,0,0,0,0,3,17.5866427,5023,39,111509.65,0
0,2,2,2,2,3,7,0.7128172,16734,38,150821.66,1
0,0,0,0,0,4,11,7.3449708,8924,42,125739.63,0
3,3,3,4,5,5,10,0.0451774,16734,38,150821.66,1
0,0,0,0,1,2,12,6.8067494,9005,31,105797,1
0,0,0,1,1,2,2,3.7054015,6513,35,102979.26,0
